"ISO","threshold","confirmation_lens","admin_level","n_runs_targeted"
"MWI",1e-04,"global-estimate","admin2",200
"MWI",2e-04,"global-estimate","admin1",4
"MWI",2e-04,"global-estimate","admin2",200
"MWI",1e-04,"no-estimate","admin1",200
"MWI",1e-04,"no-estimate","admin2",200
"MWI",2e-04,"no-estimate","admin1",200
"MWI",2e-04,"no-estimate","admin2",200
"MWI",0.001,"no-estimate","admin2",165
"NAM",1e-04,"district-estimate","admin1",200
"NAM",1e-04,"district-estimate","admin2",200
"NAM",2e-04,"district-estimate","admin1",174
"NAM",2e-04,"district-estimate","admin2",200
"NAM",0.001,"district-estimate","admin1",80
"NAM",0.001,"district-estimate","admin2",145
"NAM",1e-04,"global-estimate","admin1",196
"NAM",1e-04,"global-estimate","admin2",200
"NAM",2e-04,"global-estimate","admin1",159
"NAM",2e-04,"global-estimate","admin2",195
"NAM",0.001,"global-estimate","admin1",54
"NAM",0.001,"global-estimate","admin2",146
"NAM",1e-04,"no-estimate","admin1",200
"NAM",1e-04,"no-estimate","admin2",200
"NAM",2e-04,"no-estimate","admin1",200
"NAM",2e-04,"no-estimate","admin2",200
"NAM",0.001,"no-estimate","admin1",146
"NAM",0.001,"no-estimate","admin2",152
"NER",1e-04,"district-estimate","admin1",193
"NER",1e-04,"district-estimate","admin2",200
"NER",2e-04,"district-estimate","admin1",5
"NER",2e-04,"district-estimate","admin2",200
"NER",0.001,"district-estimate","admin2",15
"NER",1e-04,"global-estimate","admin1",152
"NER",1e-04,"global-estimate","admin2",200
"NER",2e-04,"global-estimate","admin1",1
"NER",2e-04,"global-estimate","admin2",186
"NER",1e-04,"no-estimate","admin1",200
"NER",1e-04,"no-estimate","admin2",200
"NER",2e-04,"no-estimate","admin1",200
"NER",2e-04,"no-estimate","admin2",200
"NER",0.001,"no-estimate","admin2",200
"NGA",1e-04,"district-estimate","admin1",200
"NGA",1e-04,"district-estimate","admin2",200
"NGA",2e-04,"district-estimate","admin1",198
"NGA",2e-04,"district-estimate","admin2",200
"NGA",0.001,"district-estimate","admin2",200
"NGA",1e-04,"global-estimate","admin1",200
"NGA",1e-04,"global-estimate","admin2",200
"NGA",2e-04,"global-estimate","admin1",199
"NGA",2e-04,"global-estimate","admin2",200
"NGA",0.001,"global-estimate","admin2",200
"NGA",1e-04,"no-estimate","admin1",200
"NGA",1e-04,"no-estimate","admin2",200
"NGA",2e-04,"no-estimate","admin1",200
"NGA",2e-04,"no-estimate","admin2",200
"NGA",0.001,"no-estimate","admin1",99
"NGA",0.001,"no-estimate","admin2",200
"RWA",1e-04,"district-estimate","admin2",138
"RWA",1e-04,"global-estimate","admin2",48
"RWA",1e-04,"no-estimate","admin2",200
"RWA",2e-04,"no-estimate","admin2",200
"SLE",1e-04,"district-estimate","admin1",200
"SLE",1e-04,"district-estimate","admin2",200
"SLE",2e-04,"district-estimate","admin1",200
"SLE",2e-04,"district-estimate","admin2",200
"SLE",0.001,"district-estimate","admin1",200
"SLE",0.001,"district-estimate","admin2",200
"SLE",1e-04,"global-estimate","admin1",200
"SLE",1e-04,"global-estimate","admin2",200
"SLE",2e-04,"global-estimate","admin1",200
"SLE",2e-04,"global-estimate","admin2",200
"SLE",0.001,"global-estimate","admin1",199
"SLE",0.001,"global-estimate","admin2",200
"SLE",1e-04,"no-estimate","admin1",200
"SLE",1e-04,"no-estimate","admin2",200
"SLE",2e-04,"no-estimate","admin1",200
"SLE",2e-04,"no-estimate","admin2",200
