"ISO","confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub"
"ETH","no-estimate","admin1",2e-04,2,2,2,1,1,1
"ETH","no-estimate","admin2",1e-04,18,22,31,7,9,13
"ETH","no-estimate","admin2",2e-04,9,13,17,4,5,8
"ETH","no-estimate","admin2",0.001,1,2,4,1,1,2
"GHA","district-estimate","admin1",1e-04,10,13,15,4,6,6
"GHA","district-estimate","admin1",2e-04,4,6,8,2,3,3
"GHA","district-estimate","admin2",1e-04,78,86,95,32,36,40
"GHA","district-estimate","admin2",2e-04,42,50,57,19,23,27
"GHA","district-estimate","admin2",0.001,7,10,13,3,5,6
"GHA","global-estimate","admin1",1e-04,8,10,14,3,5,6
"GHA","global-estimate","admin1",2e-04,4,4,6,2,2,3
"GHA","global-estimate","admin2",1e-04,64,73,84,29,33,36
"GHA","global-estimate","admin2",2e-04,24,35,46,10,16,21
"GHA","global-estimate","admin2",0.001,6,8,9,3,4,4
"GHA","no-estimate","admin1",1e-04,17,19,20,7,7,7
"GHA","no-estimate","admin1",2e-04,11,13,14,5,6,6
"GHA","no-estimate","admin1",0.001,1,1,2,1,1,1
"GHA","no-estimate","admin2",1e-04,121,127,132,47,49,52
"GHA","no-estimate","admin2",2e-04,81,86,90,34,36,39
"GHA","no-estimate","admin2",0.001,17,18,19,7,8,9
"GIN","district-estimate","admin1",1e-04,4,6,8,2,2,3
"GIN","district-estimate","admin1",2e-04,2,4,5,1,2,2
"GIN","district-estimate","admin2",1e-04,12,15,18,5,6,7
"GIN","district-estimate","admin2",2e-04,5,9,13,2,4,6
"GIN","global-estimate","admin1",1e-04,3,5,7,1,2,3
"GIN","global-estimate","admin1",2e-04,1,2,4,1,1,2
"GIN","global-estimate","admin2",1e-04,8,14,18,4,6,7
"GIN","global-estimate","admin2",2e-04,2,6,12,1,3,6
"GIN","no-estimate","admin1",1e-04,7,8,9,3,3,4
"GIN","no-estimate","admin1",2e-04,4,5,7,2,2,3
"GIN","no-estimate","admin2",1e-04,18,21,23,6,8,9
"GIN","no-estimate","admin2",2e-04,13,15,18,5,6,7
"GIN","no-estimate","admin2",0.001,1,1,2,1,1,1
"GNB","district-estimate","admin1",1e-04,8,10,13,3,4,6
"GNB","district-estimate","admin1",2e-04,5,8,8,2,3,3
"GNB","district-estimate","admin1",0.001,1,3,3,1,1,1
"GNB","district-estimate","admin2",1e-04,19,23,29,7,10,12
"GNB","district-estimate","admin2",2e-04,10,14,20,4,7,9
"GNB","district-estimate","admin2",0.001,3,5,7,1,2,3
"GNB","global-estimate","admin1",1e-04,8,9,12,3,3,5
"GNB","global-estimate","admin1",2e-04,5,7,8,2,3,3
"GNB","global-estimate","admin1",0.001,1,3,3,1,1,1
"GNB","global-estimate","admin2",1e-04,15,21,28,7,9,12
"GNB","global-estimate","admin2",2e-04,6,11,18,2,5,8
"GNB","global-estimate","admin2",0.001,3,5,6,1,2,3
"GNB","no-estimate","admin1",1e-04,14,15,17,6,6,7
"GNB","no-estimate","admin1",2e-04,9,10,13,3,4,6
"GNB","no-estimate","admin1",0.001,3,4,5,2,2,2
"GNB","no-estimate","admin2",1e-04,27,34,40,11,13,15
"GNB","no-estimate","admin2",2e-04,18,25,30,7,10,12
"GNB","no-estimate","admin2",0.001,6,6,9,2,2,3
"KEN","district-estimate","admin1",1e-04,18,25,29,8,10,12
"KEN","district-estimate","admin1",2e-04,8,13,18,4,6,8
"KEN","district-estimate","admin1",0.001,1,2,3,1,1,2
"KEN","district-estimate","admin2",1e-04,76,91,101,32,38,44
