"ISO","confirmation_lens","threshold","admin_level","prop_vaxed_in_highIR_median","prop_vaxed_in_highIR_lb","prop_vaxed_in_highIR_ub"
"CMR","global-estimate",0.001,"admin2",1,0.481783441773086,1
"CMR","no-estimate",1e-04,"admin1",0.736360228601903,0.364197106410286,0.885658595918387
"CMR","no-estimate",1e-04,"admin2",0.626702839371744,0.206231337254309,0.804969951503265
"CMR","no-estimate",2e-04,"admin1",0.502185933069883,0.205777727321771,0.715721832571759
"CMR","no-estimate",2e-04,"admin2",0.309502121498908,0.156531900282745,0.629882134181813
"CMR","no-estimate",0.001,"admin1",0,0,0
"CMR","no-estimate",0.001,"admin2",0.355801522148769,0.0989218861805921,0.815911420396238
"COD","district-estimate",1e-04,"admin1",1,0.944529873272739,1
"COD","district-estimate",1e-04,"admin2",0.992663606231213,0.951979975370167,1
"COD","district-estimate",2e-04,"admin1",1,0.882071530833397,1
"COD","district-estimate",2e-04,"admin2",0.987266188619685,0.938151523559246,1
"COD","district-estimate",0.001,"admin1",1,1,1
"COD","district-estimate",0.001,"admin2",1,0.834598066179141,1
"COD","global-estimate",1e-04,"admin1",1,0.898952263348629,1
"COD","global-estimate",1e-04,"admin2",0.963898405877089,0.642178616625964,1
"COD","global-estimate",2e-04,"admin1",0.910504120836324,0.251427690317056,1
"COD","global-estimate",2e-04,"admin2",0.958336639099989,0.479925994712841,1
"COD","global-estimate",0.001,"admin2",0.998721609684166,0.418399037747885,1
"COD","no-estimate",1e-04,"admin1",0.875201773280335,0.538557223375424,0.939035715608882
"COD","no-estimate",1e-04,"admin2",0.297868958884036,0.122308328247338,0.775348568538034
"COD","no-estimate",2e-04,"admin1",0.578429370016804,0.217958218145647,0.714594752297072
"COD","no-estimate",2e-04,"admin2",0.225142796407913,0.0720959113729248,0.543472279898352
"COD","no-estimate",0.001,"admin1",0.362806485229882,0.362806485229882,0.362806485229882
"COD","no-estimate",0.001,"admin2",0.273178172071589,0.103254588540542,0.690426917648284
"COG","district-estimate",1e-04,"admin1",1,1,1
"COG","district-estimate",1e-04,"admin2",1,0.872674789805823,1
"COG","district-estimate",2e-04,"admin1",1,0.732784977955068,1
"COG","district-estimate",2e-04,"admin2",1,0.848299694147172,1
"COG","district-estimate",0.001,"admin1",1,1,1
"COG","district-estimate",0.001,"admin2",1,1,1
"COG","global-estimate",1e-04,"admin1",1,0.911316516529854,1
"COG","global-estimate",1e-04,"admin2",1,0.7958454913809,1
"COG","global-estimate",2e-04,"admin1",0.991948855002442,0.237967960258436,1
"COG","global-estimate",2e-04,"admin2",1,0.791623539184633,1
"COG","global-estimate",0.001,"admin2",1,0.820036623939841,1
"COG","no-estimate",1e-04,"admin2",0,0,0
"COG","no-estimate",2e-04,"admin1",0.64051820325517,0.556199821825584,0.729982454925107
"COG","no-estimate",2e-04,"admin2",0.74990102214212,0.284779671487496,0.982318436866517
"COG","no-estimate",0.001,"admin1",0,0,0
"COG","no-estimate",0.001,"admin2",0.672793861708802,0.672793861708802,1
"ETH","district-estimate",1e-04,"admin1",1,1,1
"ETH","district-estimate",1e-04,"admin2",1,0.89468236966094,1
"ETH","district-estimate",2e-04,"admin1",1,1,1
"ETH","district-estimate",2e-04,"admin2",1,0.758485320193435,1
"ETH","district-estimate",0.001,"admin2",1,1,1
"ETH","global-estimate",1e-04,"admin1",1,1,1
"ETH","global-estimate",1e-04,"admin2",1,0.355140571240053,1
"ETH","global-estimate",2e-04,"admin2",1,0.55444773474896,1
"ETH","global-estimate",0.001,"admin2",1,1,1
"ETH","no-estimate",1e-04,"admin1",0.121413467934187,0.100479582111531,0.291197823631184
"ETH","no-estimate",1e-04,"admin2",0.317043809809414,0.123116938082415,0.859906834045759
"ETH","no-estimate",2e-04,"admin1",0,0,0
"ETH","no-estimate",2e-04,"admin2",0.597946311725312,0.192355249589391,0.896248086265989
"ETH","no-estimate",0.001,"admin2",0.674636146065054,0.674636146065054,1
"GHA","district-estimate",1e-04,"admin1",1,0.922250908196531,1
"GHA","district-estimate",1e-04,"admin2",0.987669542673831,0.950654810103479,1
"GHA","district-estimate",2e-04,"admin1",1,0.890255969532704,1
"GHA","district-estimate",2e-04,"admin2",0.972918025679974,0.789438249392058,1
"GHA","district-estimate",0.001,"admin2",1,0.935491641911044,1
"GHA","global-estimate",1e-04,"admin1",1,0.928103495035262,1
"GHA","global-estimate",1e-04,"admin2",0.957154373320305,0.479633917824551,1
"GHA","global-estimate",2e-04,"admin1",1,0.71430859493384,1
"GHA","global-estimate",2e-04,"admin2",0.950844066477796,0.464488724745638,1
"GHA","global-estimate",0.001,"admin2",1,0.833591431661449,1
"GHA","no-estimate",1e-04,"admin1",0.673431591789692,0.243830502675455,0.811089909365572
"GHA","no-estimate",1e-04,"admin2",0.377912867208165,0.140262913359744,0.790564109979011
"GHA","no-estimate",2e-04,"admin1",0,0,0
"GHA","no-estimate",2e-04,"admin2",0.228649616206882,0.0961659957718055,0.523501625458111
"GHA","no-estimate",0.001,"admin1",0,0,0
"GHA","no-estimate",0.001,"admin2",0,0,0
"GIN","district-estimate",1e-04,"admin1",1,1,1
"GIN","district-estimate",1e-04,"admin2",1,0.972748616721473,1
"GIN","district-estimate",2e-04,"admin1",1,0.779770890935946,1
"GIN","district-estimate",2e-04,"admin2",1,0.764979306054842,1
"GIN","global-estimate",1e-04,"admin1",1,1,1
"GIN","global-estimate",1e-04,"admin2",1,0.6470353955818,1
"GIN","global-estimate",2e-04,"admin1",1,0.746405782946784,1
"GIN","global-estimate",2e-04,"admin2",1,0.575143342392094,1
"GIN","no-estimate",1e-04,"admin1",0.774266360620129,0.774266360620129,0.774266360620129
"GIN","no-estimate",1e-04,"admin2",0.823287101039066,0.315734480945142,0.94767780437635
"GIN","no-estimate",2e-04,"admin1",0.660830175368038,0.330020591493828,0.927280971221163
"GIN","no-estimate",2e-04,"admin2",0.527270731527144,0.221968136003349,0.94533055294373
"GIN","no-estimate",0.001,"admin2",0,0,0
"GNB","district-estimate",1e-04,"admin1",1,1,1
"GNB","district-estimate",1e-04,"admin2",1,0.959163341273829,1
"GNB","district-estimate",2e-04,"admin1",1,0.716343791766258,1
"GNB","district-estimate",2e-04,"admin2",1,0.645286752786645,1
"GNB","district-estimate",0.001,"admin1",1,1,1
"GNB","district-estimate",0.001,"admin2",1,1,1
"GNB","global-estimate",1e-04,"admin1",1,0.593981332104431,1
"GNB","global-estimate",1e-04,"admin2",0.979255538604356,0.491062858868612,1
"GNB","global-estimate",2e-04,"admin1",1,0.281815911863545,1
"GNB","global-estimate",2e-04,"admin2",0.989189883132276,0.592103286052603,1
"GNB","global-estimate",0.001,"admin1",1,0.905610740644716,1
"GNB","global-estimate",0.001,"admin2",1,1,1
"GNB","no-estimate",1e-04,"admin1",0.627583879451033,0.618772900079466,0.6363948588226
"GNB","no-estimate",1e-04,"admin2",0.818816695288919,0.241859258788069,0.919653481447475
"GNB","no-estimate",2e-04,"admin1",0,0,0
"GNB","no-estimate",2e-04,"admin2",0.422568617367485,0.196615430499381,0.895772332208032
"GNB","no-estimate",0.001,"admin1",0.1812800673592,0.1812800673592,0.1812800673592
"GNB","no-estimate",0.001,"admin2",0.971349233226546,0.944131004791764,0.998567461661327
"KEN","district-estimate",1e-04,"admin1",1,0.928753491618294,1
"KEN","district-estimate",1e-04,"admin2",0.991253573847565,0.957996201651523,1
"KEN","district-estimate",2e-04,"admin1",1,0.931970311207992,1
"KEN","district-estimate",2e-04,"admin2",0.990367504133731,0.930655316698403,1
"KEN","district-estimate",0.001,"admin1",1,1,1
"KEN","district-estimate",0.001,"admin2",1,0.847467084342524,1
"KEN","global-estimate",1e-04,"admin1",0.985504848152504,0.743937082310212,1
"KEN","global-estimate",1e-04,"admin2",0.957832736352093,0.461919309956007,1
"KEN","global-estimate",2e-04,"admin1",0.946609623470548,0.323440557098434,1
"KEN","global-estimate",2e-04,"admin2",0.960684560787989,0.460834740741284,1
"KEN","global-estimate",0.001,"admin1",1,1,1
"KEN","global-estimate",0.001,"admin2",1,0.453530483375332,1
"KEN","no-estimate",1e-04,"admin1",0.447823040931577,0.162553976307743,0.740663190806014
"KEN","no-estimate",1e-04,"admin2",0.186716025476376,0.0676528909378893,0.566659085575951
"KEN","no-estimate",2e-04,"admin1",0.354683866357871,0.182023532056995,0.72432964628217
"KEN","no-estimate",2e-04,"admin2",0.231859475710908,0.0912072800849075,0.619379582332551
"KEN","no-estimate",0.001,"admin1",0.534482614827998,0.346820573427251,0.722144656228744
"KEN","no-estimate",0.001,"admin2",0.263283659637004,0.118095020067253,0.580344698942884
"LBR","district-estimate",1e-04,"admin1",1,1,1
"LBR","district-estimate",1e-04,"admin2",1,0.963552513551027,1
"LBR","district-estimate",2e-04,"admin1",1,0.873178607224378,1
"LBR","district-estimate",2e-04,"admin2",1,1,1
"LBR","district-estimate",0.001,"admin1",1,1,1
"LBR","district-estimate",0.001,"admin2",1,0.808826498879636,1
"LBR","global-estimate",1e-04,"admin1",1,0.870620194893649,1
"LBR","global-estimate",1e-04,"admin2",1,0.687084326311197,1
"LBR","global-estimate",2e-04,"admin1",1,0.442491998277725,1
"LBR","global-estimate",2e-04,"admin2",1,0.621175964140225,1
"LBR","global-estimate",0.001,"admin2",1,0.837939270349996,1
"LBR","no-estimate",1e-04,"admin1",0.706267364942602,0.324590076715158,0.903671899068224
"LBR","no-estimate",1e-04,"admin2",0.60872125278967,0.296339465246828,0.967280982755637
"LBR","no-estimate",2e-04,"admin1",0.532560361586142,0.532560361586142,0.532560361586142
"LBR","no-estimate",2e-04,"admin2",0.718117601605859,0.268329566629981,0.963342487607048
"LBR","no-estimate",0.001,"admin1",0,0,0
"LBR","no-estimate",0.001,"admin2",0.680727278498924,0.245749484868891,1
"MDG","district-estimate",1e-04,"admin2",1,1,1
"MDG","no-estimate",1e-04,"admin2",0,0,0
"MLI","district-estimate",1e-04,"admin1",1,1,1
"MLI","district-estimate",1e-04,"admin2",1,0.75335610174454,1
"MLI","district-estimate",2e-04,"admin2",1,0.820239690777121,1
"MLI","global-estimate",1e-04,"admin1",1,1,1
"MLI","global-estimate",1e-04,"admin2",1,0.404805012466287,1
"MLI","global-estimate",2e-04,"admin1",0,0,0
"MLI","global-estimate",2e-04,"admin2",1,0.627502155358618,1
"MLI","no-estimate",1e-04,"admin1",0.594437498668049,0.594437498668049,0.610627050025776
"MLI","no-estimate",1e-04,"admin2",0.23085360125128,0.0816308610269206,0.57678081400775
"MLI","no-estimate",2e-04,"admin1",0,0,0
"MLI","no-estimate",2e-04,"admin2",0.134435222555599,0.0556270530415181,0.399848468369808
"MOZ","district-estimate",1e-04,"admin1",1,0.759813012562464,1
"MOZ","district-estimate",1e-04,"admin2",1,0.940734637406357,1
"MOZ","district-estimate",2e-04,"admin1",1,1,1
"MOZ","district-estimate",2e-04,"admin2",1,0.951676450730897,1
"MOZ","district-estimate",0.001,"admin2",1,0.973747708720251,1
"MOZ","global-estimate",1e-04,"admin1",1,0.6038930549938,1
"MOZ","global-estimate",1e-04,"admin2",1,0.871945262513894,1
"MOZ","global-estimate",2e-04,"admin1",1,0.553403696648727,1
"MOZ","global-estimate",2e-04,"admin2",1,0.836365176422953,1
"MOZ","global-estimate",0.001,"admin2",1,0.191560702427181,1
"MOZ","no-estimate",1e-04,"admin1",0.385800648318277,0.130647658931201,0.574823335302317
"MOZ","no-estimate",1e-04,"admin2",0.391182800905751,0.251476556826232,0.751862166168319
"MOZ","no-estimate",2e-04,"admin1",0.400741018338735,0.165872392051544,0.592937070968306
"MOZ","no-estimate",2e-04,"admin2",0.730787428367558,0.210545516089092,0.920476837404962
"MOZ","no-estimate",0.001,"admin2",0.255239867654337,0.0799039197071984,0.271910825571911
"MRT","district-estimate",1e-04,"admin2",1,1,1
"MRT","district-estimate",2e-04,"admin2",1,1,1
"MRT","global-estimate",1e-04,"admin2",1,1,1
"MRT","global-estimate",2e-04,"admin2",1,1,1
"MRT","no-estimate",1e-04,"admin1",0,0,0
"MRT","no-estimate",1e-04,"admin2",0.750116866928115,0.667233920219743,0.896943701796221
"MRT","no-estimate",2e-04,"admin2",0.675396182878441,0.445370911445675,1
"MWI","district-estimate",1e-04,"admin1",1,0.891473148360862,1
"MWI","district-estimate",1e-04,"admin2",1,0.877455357375406,1
"MWI","district-estimate",2e-04,"admin1",1,1,1
"MWI","district-estimate",2e-04,"admin2",1,0.773560771625269,1
"MWI","district-estimate",0.001,"admin2",1,1,1
"MWI","global-estimate",1e-04,"admin1",1,0.451148639359138,1
"MWI","global-estimate",1e-04,"admin2",0.958299031983207,0.419212384104375,1
"MWI","global-estimate",2e-04,"admin1",0,0,0
"MWI","global-estimate",2e-04,"admin2",0.974381413237983,0.294245004701731,1
"MWI","no-estimate",1e-04,"admin1",0.344273251839697,0.12052547612155,0.541372884024164
"MWI","no-estimate",1e-04,"admin2",0.256289014988646,0.100816819470224,0.68250931709959
"MWI","no-estimate",2e-04,"admin1",0,0,0
"MWI","no-estimate",2e-04,"admin2",0.233554381437985,0.0885897626090111,0.636859618151924
"MWI","no-estimate",0.001,"admin2",0,0,0
"NAM","district-estimate",1e-04,"admin1",1,1,1
"NAM","district-estimate",1e-04,"admin2",1,0.909022335098074,1
"NAM","district-estimate",2e-04,"admin1",1,1,1
"NAM","district-estimate",2e-04,"admin2",1,0.76069741399185,1
"NAM","district-estimate",0.001,"admin1",1,1,1
"NAM","district-estimate",0.001,"admin2",1,1,1
"NAM","global-estimate",1e-04,"admin1",1,1,1
"NAM","global-estimate",1e-04,"admin2",1,0.877695789843286,1
"NAM","global-estimate",2e-04,"admin1",1,0.344106185527009,1
"NAM","global-estimate",2e-04,"admin2",1,0.397433683122838,1
"NAM","global-estimate",0.001,"admin1",1,1,1
"NAM","global-estimate",0.001,"admin2",1,1,1
"NAM","no-estimate",1e-04,"admin1",1,0.667595304272452,1
"NAM","no-estimate",1e-04,"admin2",0.699205368660483,0.384871601559581,0.92082015500616
"NAM","no-estimate",2e-04,"admin1",0.733845278304415,0.678600762031813,0.733845278304415
"NAM","no-estimate",2e-04,"admin2",0.3546145013486,0.150366112159462,0.706264037326565
"NAM","no-estimate",0.001,"admin1",0,0,0
"NAM","no-estimate",0.001,"admin2",0.662342240404673,0.662342240404673,0.662342240404673
"NER","district-estimate",1e-04,"admin1",1,1,1
"NER","district-estimate",1e-04,"admin2",1,0.865231383267966,1
"NER","district-estimate",2e-04,"admin1",1,1,1
"NER","district-estimate",2e-04,"admin2",1,0.977336640860645,1
"NER","district-estimate",0.001,"admin2",1,1,1
"NER","global-estimate",1e-04,"admin1",1,1,1
"NER","global-estimate",1e-04,"admin2",1,0.505523245592541,1
"NER","global-estimate",2e-04,"admin2",1,0.522634700545383,1
"NER","no-estimate",1e-04,"admin1",0.680298699812556,0.569342617770997,1
"NER","no-estimate",1e-04,"admin2",0.546224684182639,0.196226169913028,0.824458803083471
"NER","no-estimate",2e-04,"admin1",0,0,0
"NER","no-estimate",2e-04,"admin2",0.445097495084492,0.244040416698139,0.92461140038121
"NER","no-estimate",0.001,"admin2",1,1,1
"NGA","district-estimate",1e-04,"admin1",1,0.912118508958472,1
"NGA","district-estimate",1e-04,"admin2",0.987927925673458,0.950882554541237,1
"NGA","district-estimate",2e-04,"admin1",1,1,1
"NGA","district-estimate",2e-04,"admin2",0.983661424535752,0.938750315998292,1
"NGA","district-estimate",0.001,"admin2",1,0.892319136744334,1
"NGA","global-estimate",1e-04,"admin1",1,0.742774566368881,1
"NGA","global-estimate",1e-04,"admin2",0.961588816904046,0.609565718392551,1
"NGA","global-estimate",2e-04,"admin1",1,0.902506476477912,1
"NGA","global-estimate",2e-04,"admin2",0.946053124114217,0.458256601419599,1
"NGA","global-estimate",0.001,"admin2",1,0.448329148140531,1
"NGA","no-estimate",1e-04,"admin1",0.15764836819677,0.0648656308463756,0.413686359895668
"NGA","no-estimate",1e-04,"admin2",0.200001016167028,0.072529122409266,0.484076523878928
"NGA","no-estimate",2e-04,"admin1",0.25188562453085,0.226217769096782,0.354469204672392
"NGA","no-estimate",2e-04,"admin2",0.158730225961661,0.0701416507846477,0.54269210837929
"NGA","no-estimate",0.001,"admin1",0,0,0
"NGA","no-estimate",0.001,"admin2",0.249305361824945,0.0877657841915631,0.65301560713462
"RWA","district-estimate",1e-04,"admin2",1,1,1
"RWA","global-estimate",1e-04,"admin2",1,1,1
"RWA","no-estimate",1e-04,"admin2",0,0,0
"SLE","district-estimate",1e-04,"admin1",1,1,1
"SLE","district-estimate",1e-04,"admin2",1,0.950844067665263,1
"SLE","district-estimate",2e-04,"admin1",1,1,1
"SLE","district-estimate",2e-04,"admin2",1,0.9393833622149,1
"SLE","district-estimate",0.001,"admin1",1,1,1
"SLE","district-estimate",0.001,"admin2",1,0.743359008456656,1
"SLE","global-estimate",1e-04,"admin1",1,0.922503829358771,1
"SLE","global-estimate",1e-04,"admin2",1,0.911941311695415,1
"SLE","global-estimate",2e-04,"admin1",1,0.766955081355518,1
"SLE","global-estimate",2e-04,"admin2",1,0.52302771984508,1
"SLE","global-estimate",0.001,"admin1",1,1,1
"SLE","global-estimate",0.001,"admin2",1,0.397262914354789,1
"SLE","no-estimate",1e-04,"admin1",0.921839091191954,0.921839091191954,1
"SLE","no-estimate",1e-04,"admin2",0,0,0
"SLE","no-estimate",2e-04,"admin1",0,0,0
"SLE","no-estimate",2e-04,"admin2",0.829933479913607,0.391398499497851,0.949079995743712
"SLE","no-estimate",0.001,"admin1",0,0,0
"SLE","no-estimate",0.001,"admin2",0.541484301011739,0.340855143771794,0.725318693022339
"SOM","district-estimate",1e-04,"admin1",1,0.981033106192641,1
"SOM","district-estimate",1e-04,"admin2",1,0.983019564568083,1
"SOM","district-estimate",2e-04,"admin1",1,0.952295143919199,1
"SOM","district-estimate",2e-04,"admin2",1,0.967050962643303,1
"SOM","district-estimate",0.001,"admin1",1,0.790589814428705,1
"SOM","district-estimate",0.001,"admin2",1,0.821299492883563,1
"SOM","global-estimate",1e-04,"admin1",1,0.946291906228302,1
"SOM","global-estimate",1e-04,"admin2",0.992188147870159,0.921073747715301,1
"SOM","global-estimate",2e-04,"admin1",0.95364929892301,0.624373611584554,1
"SOM","global-estimate",2e-04,"admin2",0.993714360207264,0.69688854262004,1
"SOM","global-estimate",0.001,"admin1",1,0.659501489398103,1
"SOM","global-estimate",0.001,"admin2",0.958174345299076,0.407444159095931,1
"SOM","no-estimate",1e-04,"admin1",0.961000516982083,0.587710556929383,0.991791969231833
"SOM","no-estimate",1e-04,"admin2",0.441810628516221,0.408627461719057,0.923504608448195
"SOM","no-estimate",2e-04,"admin1",0.823384955199525,0.404312054355727,0.91750636780887
"SOM","no-estimate",2e-04,"admin2",0.827241045943558,0.299507300943979,0.922801437875936
"SOM","no-estimate",0.001,"admin1",0.233939019898164,0.0995726819612595,0.552944738191147
"SOM","no-estimate",0.001,"admin2",0.254440674365595,0.0940302278380613,0.727107631480381
"SSD","district-estimate",1e-04,"admin1",1,0.957911299687554,1
"SSD","district-estimate",1e-04,"admin2",1,0.925740018335198,1
"SSD","district-estimate",2e-04,"admin1",1,1,1
"SSD","district-estimate",2e-04,"admin2",1,0.91236119778847,1
"SSD","district-estimate",0.001,"admin1",1,1,1
"SSD","district-estimate",0.001,"admin2",1,0.910870172595008,1
"SSD","global-estimate",1e-04,"admin1",1,0.826845739761283,1
"SSD","global-estimate",1e-04,"admin2",1,0.73931802592139,1
"SSD","global-estimate",2e-04,"admin1",1,0.628477659237489,1
"SSD","global-estimate",2e-04,"admin2",1,0.814678636312278,1
"SSD","global-estimate",0.001,"admin1",1,1,1
"SSD","global-estimate",0.001,"admin2",1,1,1
"SSD","no-estimate",1e-04,"admin1",0.789963711716156,0.41275508013715,0.935680427471881
"SSD","no-estimate",1e-04,"admin2",0.842609157639156,0.362247310571654,0.964975830746322
"SSD","no-estimate",2e-04,"admin1",0.719196621283896,0.310249021079876,0.899624069687058
"SSD","no-estimate",2e-04,"admin2",0.767407222011396,0.565282537592122,0.915323046303116
"SSD","no-estimate",0.001,"admin1",0.328147257981197,0.328147257981197,0.62715414896953
"SSD","no-estimate",0.001,"admin2",0.565445789124028,0.0477759611729311,0.870715488091707
"TCD","district-estimate",1e-04,"admin1",1,0.947602028499652,1
"TCD","district-estimate",1e-04,"admin2",1,0.924229232099812,1
"TCD","district-estimate",2e-04,"admin1",1,0.934768539846487,1
"TCD","district-estimate",2e-04,"admin2",1,0.955064702330441,1
"TCD","district-estimate",0.001,"admin1",1,1,1
"TCD","district-estimate",0.001,"admin2",1,0.854474096100141,1
"TCD","global-estimate",1e-04,"admin1",1,0.481295049431547,1
"TCD","global-estimate",1e-04,"admin2",0.98416643174749,0.48119112532136,1
"TCD","global-estimate",2e-04,"admin1",0.936230296526911,0.430638004892692,1
"TCD","global-estimate",2e-04,"admin2",0.971605546567389,0.505181234490895,1
"TCD","global-estimate",0.001,"admin1",1,1,1
"TCD","global-estimate",0.001,"admin2",1,0.617639221425118,1
"TCD","no-estimate",1e-04,"admin1",0.851974446031282,0.384664255818058,0.943564575045521
"TCD","no-estimate",1e-04,"admin2",0.634974737352693,0.236227546967775,0.850608239615015
"TCD","no-estimate",2e-04,"admin1",0.590498408090987,0.223506532431611,0.831057342439829
"TCD","no-estimate",2e-04,"admin2",0.341780915723939,0.170160301457787,0.755783100305013
"TCD","no-estimate",0.001,"admin1",0,0,0
"TCD","no-estimate",0.001,"admin2",0.621176343257592,0.207087413541638,0.694211932987737
"TGO","district-estimate",1e-04,"admin2",1,1,1
"TGO","no-estimate",1e-04,"admin2",0,0,0
"TZA","district-estimate",1e-04,"admin1",1,0.823640824592815,1
"TZA","district-estimate",1e-04,"admin2",0.983285412558805,0.904441121903864,1
"TZA","district-estimate",2e-04,"admin1",1,0.867567556554494,1
"TZA","district-estimate",2e-04,"admin2",0.981869787033899,0.806629818585853,1
"TZA","district-estimate",0.001,"admin2",1,0.768300178225617,1
"TZA","global-estimate",1e-04,"admin1",1,0.451896650315976,1
"TZA","global-estimate",1e-04,"admin2",0.917927752454109,0.509771815476394,0.999914449198583
"TZA","global-estimate",2e-04,"admin1",1,0.265263331864313,1
"TZA","global-estimate",2e-04,"admin2",0.905953444534924,0.415397463348223,1
"TZA","global-estimate",0.001,"admin2",1,0.832728018833774,1
"TZA","no-estimate",1e-04,"admin1",0.22535691325795,0.0848039468580049,0.540059467775423
"TZA","no-estimate",1e-04,"admin2",0.187338766585031,0.0653496741665382,0.51914839549509
"TZA","no-estimate",2e-04,"admin1",0.0866548430958698,0.0421958445529712,0.290192744734938
"TZA","no-estimate",2e-04,"admin2",0.114040393849173,0.0401935256437051,0.305371274584516
