"ISO","threshold","confirmation_lens","admin_level","NAME","mean_observed_ir","mean_clinical_ir","eff"
"SSD",1e-04,"no-estimate","admin1","Eastern Equatoria",0.00238286067400558,0.00238286067400558,4.22921276364057
"SSD",1e-04,"no-estimate","admin1","Jungoli",0.000234708560457086,0.000234708560457086,0.426290794661487
"SSD",1e-04,"no-estimate","admin1","Lakes",0.000186079036505014,0.000186079036505014,0.320194524305698
"SSD",1e-04,"no-estimate","admin1","Unity",0.000480766579468856,0.000480766579468856,0.943877623247235
"SSD",1e-04,"no-estimate","admin1","Upper Nile",0.000190735565792485,0.000190735565792485,0.367950637375972
"SSD",1e-04,"no-estimate","admin1","West Equatoria",6.99325931296199e-05,6.99325931296199e-05,0.604161448753153
"SSD",2e-04,"no-estimate","admin1","Central Equatoria",0.000555580892051902,0.000555580892051902,1.2350280067754
"SSD",2e-04,"no-estimate","admin1","Eastern Equatoria",0.00238286067400558,0.00238286067400558,4.2292119001595
"SSD",2e-04,"no-estimate","admin1","Jungoli",0.000234708560457086,0.000234708560457086,0.464203569163869
"SSD",2e-04,"no-estimate","admin1","Lakes",0.000186079036505014,0.000186079036505014,0.481316733549763
"SSD",2e-04,"no-estimate","admin1","Unity",0.000480766579468856,0.000480766579468856,0.92414033241888
"SSD",2e-04,"no-estimate","admin1","Upper Nile",0.000190735565792485,0.000190735565792485,0.406620615297739
"SSD",2e-04,"no-estimate","admin1","West Equatoria",6.99325931296199e-05,6.99325931296199e-05,0.673073662606508
"SSD",0.001,"no-estimate","admin1","Central Equatoria",0.000555580892051902,0.000555580892051902,2.04660319195101
"SSD",0.001,"no-estimate","admin1","Eastern Equatoria",0.00238286067400558,0.00238286067400558,4.14222171822535
"SSD",1e-04,"no-estimate","admin2","Akobo",0.000117657916160209,0.000117657916160209,0.273954777757424
"SSD",1e-04,"no-estimate","admin2","Al Leiri",0.000398654650058812,0.000398654650058812,0.791276362207314
"SSD",1e-04,"no-estimate","admin2","Al Mayom",2.25906978297102e-05,2.25906978297102e-05,0.513270142026227
"SSD",1e-04,"no-estimate","admin2","Aliab",0.00263494869055563,0.00263494869055563,4.61812408518576
"SSD",1e-04,"no-estimate","admin2","Amatonge",0.00628403690230063,0.00628403690230063,10.7332918921949
"SSD",1e-04,"no-estimate","admin2","Ayod",0.000475302977498013,0.000475302977498013,0.676330317563548
"SSD",1e-04,"no-estimate","admin2","Bahr al Jabal",0.0014721399413542,0.0014721399413542,1.46149149607741
"SSD",1e-04,"no-estimate","admin2","Baleit",4.572290127451e-05,4.572290127451e-05,0.285659427094049
"SSD",1e-04,"no-estimate","admin2","Bor",0.000421897758919215,0.000421897758919215,1.39544232893134
"SSD",1e-04,"no-estimate","admin2","Fam al Zaraf",0.00101178230231174,0.00101178230231174,2.45204696009549
"SSD",1e-04,"no-estimate","admin2","Fashooda",6.60995735689782e-06,6.60995735689782e-06,0.325710941514113
"SSD",1e-04,"no-estimate","admin2","Kajo Kaii",0.000210480762974285,0.000210480762974285,0.404760687614636
"SSD",1e-04,"no-estimate","admin2","Kapoeta",0.000172077125294949,0.000172077125294949,0.298822483671351
"SSD",1e-04,"no-estimate","admin2","Magwi",0.00190924003718921,0.00190924003718921,0.986383329210291
"SSD",1e-04,"no-estimate","admin2","Mundri",0.000308985990676929,0.000308985990676929,2.82066333169377
"SSD",1e-04,"no-estimate","admin2","Rabkona",0.000903539523690531,0.000903539523690531,1.76063013178426
"SSD",1e-04,"no-estimate","admin2","Terkaka",5.91264048012171e-05,5.91264048012171e-05,0.269073866837113
"SSD",1e-04,"no-estimate","admin2","Tonga",0.00093117470793068,0.00093117470793068,1.84627727450828
"SSD",2e-04,"no-estimate","admin2","Akobo",0.000117657916160209,0.000117657916160209,0.297031871018191
