"confirmation_lens","admin_level","threshold","py_vaxed_lb","py_vaxed_median","py_vaxed_ub","prop_py_vaxed_lb","prop_py_vaxed_median","prop_py_vaxed_ub","ISO"
"district-estimate","admin1",1e-04,207352.766215847,425710.017353221,669253.042756534,0.0688354401568071,0.127302099885774,0.322195538793779,"CAF"
"district-estimate","admin1",2e-04,207352.766215847,433064.586904912,450895.79161916,0.0688354401568071,0.151139818001411,0.658351379139742,"CAF"
"district-estimate","admin2",1e-04,39360.8113576675,62052.959886565,441131.123239618,0.111169289922121,0.178126863496731,0.199184343732785,"CAF"
"district-estimate","admin2",2e-04,18100.796397833,41812.9873551864,314893.233937184,0.0623915024434295,0.178126863496731,0.658351379139742,"CAF"
"district-estimate","admin2",0.001,18100.796397833,18100.796397833,41812.9873551864,0.0623915024434295,0.196862919427552,0.658351379139742,"CAF"
"global-estimate","admin1",1e-04,207352.766215847,425710.017353221,663970.203431889,0.0514173793239501,0.122541519267042,0.208891749684779,"CAF"
"global-estimate","admin1",2e-04,207352.766215847,316531.391784534,444120.232173918,0.057533624380668,0.102761753761164,0.618929484828764,"CAF"
"global-estimate","admin2",1e-04,39360.8113576675,62052.959886565,438149.116628073,0.0863577761025214,0.164774645484629,0.198110356428457,"CAF"
"global-estimate","admin2",2e-04,18100.796397833,62052.959886565,307394.92552134,0.0195722448648655,0.122078865515869,0.198082818292449,"CAF"
"global-estimate","admin2",0.001,18100.796397833,18100.796397833,41761.5517288694,0.0462625805772117,0.117698954146498,0.607517269644612,"CAF"
"no-estimate","admin1",1e-04,207352.766215847,425710.017353221,658776.407593977,0.0716512304007313,0.190378503165278,0.200109862773966,"CAF"
"no-estimate","admin1",2e-04,207352.766215847,207352.766215847,666215.410144863,0.0688354401568071,0.0998836101903188,0.658351379139742,"CAF"
"no-estimate","admin2",1e-04,39360.8113576675,62052.959886565,435217.375105731,0.148442204509972,0.188307289946312,0.19709826659294,"CAF"
"no-estimate","admin2",2e-04,18100.796397833,62052.959886565,441131.123239618,0.0991194756231411,0.195530814023074,0.658351379139742,"CAF"
"no-estimate","admin2",0.001,18100.796397833,18100.796397833,39973.8553570472,0.0623915024434295,0.0993235366725562,0.658351379139742,"CAF"
"district-estimate","admin1",1e-04,281656.116962779,577961.787593582,908200.285479123,0.0677498016369281,0.12544667696394,0.321786394511038,"CIV"
"district-estimate","admin1",2e-04,281656.116962779,281656.116962779,616689.727930492,0.0677498016369281,0.0677498016369281,0.321786394511038,"CIV"
