"ISO","confirmation_lens","threshold","admin_level","n_vaxed_in_highIR","tp_cumu_median","prop_vaxed_in_highIR"
"SOM","district-estimate",2e-04,"admin2",15080418.4200535,15143228.0024608,0.99585229896842
"SOM","district-estimate",0.001,"admin1",4408435.88689622,4439055.3144473,0.993102264923029
"SOM","district-estimate",0.001,"admin2",5452617.99145178,5661951.01871047,0.963028110528168
"SOM","global-estimate",1e-04,"admin1",24013499.0274728,24090011.453271,0.996823894170967
"SOM","global-estimate",1e-04,"admin2",17535161.609974,17703777.5700348,0.990475707266784
"SOM","global-estimate",2e-04,"admin1",17445464.2829198,18710506.0889486,0.93238869114417
"SOM","global-estimate",2e-04,"admin2",12413849.8010967,12614561.5988843,0.984088880440728
"SOM","global-estimate",0.001,"admin1",3731433.40028039,3777337.11957401,0.987847597966369
"SOM","global-estimate",0.001,"admin2",4090396.15933914,4410570.92095532,0.92740741111429
"SOM","no-estimate",1e-04,"admin1",24377372.0832077,26021646.4683578,0.93681128566751
"SOM","no-estimate",1e-04,"admin2",17660519.8588237,20194472.7187521,0.874522454969798
"SOM","no-estimate",2e-04,"admin1",21074336.2082806,24902265.8796784,0.846281872906931
"SOM","no-estimate",2e-04,"admin2",15061982.8365403,18137383.3045936,0.830438580008705
"SOM","no-estimate",0.001,"admin1",4324933.00270791,11685237.6626113,0.370119387177395
"SOM","no-estimate",0.001,"admin2",5034525.79544023,9889350.6133119,0.509085580266852
"SSD","district-estimate",1e-04,"admin1",13972197.5683396,14234180.9059753,0.9815947725151
"SSD","district-estimate",1e-04,"admin2",7419625.4941216,7476931.54350915,0.992335619357476
"SSD","district-estimate",2e-04,"admin1",9872900.16316043,9872900.16316043,1
"SSD","district-estimate",2e-04,"admin2",5585079.40872261,5649737.40386941,0.98855557514894
"SSD","district-estimate",0.001,"admin1",5727168.38659123,2791601.1363416,2.05157116180885
"SSD","district-estimate",0.001,"admin2",2865551.13625343,2865551.13625343,1
"SSD","global-estimate",1e-04,"admin1",12062027.9939801,12503235.0507648,0.964712567987934
"SSD","global-estimate",1e-04,"admin2",6749611.90081524,6981429.54027413,0.966795104337644
"SSD","global-estimate",2e-04,"admin1",8933716.27339527,9799913.46027253,0.911611751431408
"SSD","global-estimate",2e-04,"admin2",4638227.80730277,4768204.76197197,0.972740903304781
"SSD","global-estimate",0.001,"admin1",5727168.38659123,0,Inf
"SSD","global-estimate",0.001,"admin2",2817821.29036266,2828450.79882602,0.996241932697653
"SSD","no-estimate",1e-04,"admin1",13221091.4670039,17250556.590989,0.766415355775249
"SSD","no-estimate",1e-04,"admin2",7340740.55386183,9941721.35216568,0.738377217971689
"SSD","no-estimate",2e-04,"admin1",9758301.37190654,13951603.1828942,0.699439429575449
"SSD","no-estimate",2e-04,"admin2",5378154.29232789,7381861.48555111,0.728563425750379
"SSD","no-estimate",0.001,"admin1",5727168.38659123,8866549.17529144,0.645929805763806
"SSD","no-estimate",0.001,"admin2",2835679.4410883,3215123.4656052,0.881981507529611
"TCD","district-estimate",1e-04,"admin1",14981593.2069118,15106651.9822725,0.991721608764966
"TCD","district-estimate",1e-04,"admin2",11990247.380195,12125800.9366896,0.98882106368047
"TCD","district-estimate",2e-04,"admin1",10707767.7684395,10835355.503081,0.98822486861597
"TCD","district-estimate",2e-04,"admin2",7831117.16525318,7917232.87565494,0.989123003989619
"TCD","district-estimate",0.001,"admin1",2011553.02545601,2011553.02545601,1
"TCD","district-estimate",0.001,"admin2",1721360.660046,1827612.61935943,0.941862975672237
"TCD","global-estimate",1e-04,"admin1",13866523.9434586,14036646.6423074,0.987880103903447
"TCD","global-estimate",1e-04,"admin2",10960106.3635768,11500682.4020512,0.952996177133108
"TCD","global-estimate",2e-04,"admin1",7923291.33174985,9248646.4445955,0.856697396663906
"TCD","global-estimate",2e-04,"admin2",5741252.80894194,6132177.7654152,0.936250224401837
"TCD","global-estimate",0.001,"admin1",2011553.02545601,2011553.02545601,1
"TCD","global-estimate",0.001,"admin2",1191352.85588189,1393113.49369095,0.855172863716573
"TCD","no-estimate",1e-04,"admin1",14841126.1597539,17651520.5676117,0.840784571669453
"TCD","no-estimate",1e-04,"admin2",11773629.166279,15498339.1027372,0.759670380692573
"TCD","no-estimate",2e-04,"admin1",10387610.4667864,15215692.2133765,0.682690627617611
"TCD","no-estimate",2e-04,"admin2",7539016.99518493,12245370.6001895,0.615662623968952
"TCD","no-estimate",0.001,"admin1",2011553.02545601,5135093.35357283,0.391726671153201
"TCD","no-estimate",0.001,"admin2",1603738.13330893,3596196.00153504,0.445954039386166
"TGO","district-estimate",1e-04,"admin2",550111.932348235,0,Inf
"TGO","global-estimate",1e-04,"admin2",259003.501984982,0,Inf
"TGO","no-estimate",1e-04,"admin2",259003.501984982,0,Inf
"TZA","district-estimate",1e-04,"admin1",33464940.79546,34607975.5568938,0.96697192646953
"TZA","district-estimate",1e-04,"admin2",26633799.5426745,27422212.3877105,0.971249116085568
"TZA","district-estimate",2e-04,"admin1",5971193.06502366,5894492.33751185,1.01301227028894
"TZA","district-estimate",2e-04,"admin2",10827186.1178358,11280528.3866933,0.959811965067853
"TZA","district-estimate",0.001,"admin2",310241.302799211,310416.926119865,0.999434234070772
"TZA","global-estimate",1e-04,"admin1",25454703.0920676,26392038.3530093,0.96448416570163
"TZA","global-estimate",1e-04,"admin2",19604194.0935265,20957073.247513,0.935445224721587
"TZA","global-estimate",2e-04,"admin1",3451190.46755336,0,Inf
"TZA","global-estimate",2e-04,"admin2",6410745.14723833,7384772.86265893,0.868103226255506
"TZA","global-estimate",0.001,"admin2",166682.039949636,277626.710293439,0.600381857255235
"TZA","no-estimate",1e-04,"admin1",29774063.077138,67069483.1304027,0.443928619805351
"TZA","no-estimate",1e-04,"admin2",25106699.9171195,45758855.3223287,0.548674125265287
"TZA","no-estimate",2e-04,"admin1",4351919.55403713,34292196.2885246,0.126906994157544
"TZA","no-estimate",2e-04,"admin2",10198024.961253,27213687.5397261,0.374738812825939
"TZA","no-estimate",0.001,"admin2",312753.426222129,1380424.65659366,0.226563199033173
"UGA","district-estimate",1e-04,"admin1",2055974.19038111,2083891.47383162,0.986603293021213
"UGA","district-estimate",1e-04,"admin2",2706925.06682472,2764142.84655715,0.979299991748367
"UGA","district-estimate",2e-04,"admin1",796542.231538675,921245.245646318,0.864636463854795
"UGA","district-estimate",2e-04,"admin2",871474.116318834,879232.718924691,0.991175712142122
"UGA","district-estimate",0.001,"admin1",220531.786240952,0,Inf
"UGA","district-estimate",0.001,"admin2",133675.108783783,17208.4262445881,7.76800312148374
"UGA","global-estimate",1e-04,"admin1",1777200.78664416,1791320.19987846,0.992117873043994
"UGA","global-estimate",1e-04,"admin2",2519687.72711658,2822397.84526601,0.892747183513776
"UGA","global-estimate",2e-04,"admin1",521658.558508412,552428.036851048,0.944301381736473
"UGA","global-estimate",2e-04,"admin2",500829.580034375,619618.768877623,0.808286651712596
"UGA","global-estimate",0.001,"admin2",83641.2536821885,10274.3246621008,8.14080306326297
"UGA","no-estimate",1e-04,"admin1",2028639.42431369,5786752.88082602,0.350566106086098
"UGA","no-estimate",1e-04,"admin2",2496409.46798284,4743185.94150136,0.526314907062793
"UGA","no-estimate",2e-04,"admin1",782323.295656548,1770795.11352671,0.441792102135676
"UGA","no-estimate",2e-04,"admin2",716193.980200901,2730429.51177023,0.262300849413457
"UGA","no-estimate",0.001,"admin1",480244.990788084,0,Inf
"UGA","no-estimate",0.001,"admin2",83641.2536821885,276701.082630478,0.302280182235093
"ZMB","district-estimate",1e-04,"admin1",4327349.8676249,4327349.8676249,1
"ZMB","district-estimate",1e-04,"admin2",6389143.49274684,6449750.40272794,0.990603216218186
"ZMB","district-estimate",2e-04,"admin1",4525261.54324492,2102307.65368016,2.15252108097656
"ZMB","district-estimate",2e-04,"admin2",2385195.44495068,3455810.32614893,0.690198598835917
"ZMB","district-estimate",0.001,"admin2",184676.937217644,0,Inf
"ZMB","global-estimate",1e-04,"admin1",4327349.8676249,4327349.8676249,1
"ZMB","global-estimate",1e-04,"admin2",4546620.63210372,4829542.94698431,0.941418407914303
"ZMB","global-estimate",2e-04,"admin1",4327349.8676249,0,Inf
"ZMB","global-estimate",2e-04,"admin2",754634.86356936,763900.247641964,0.987870950295926
"ZMB","global-estimate",0.001,"admin2",319297.098260583,0,Inf
"ZMB","no-estimate",1e-04,"admin1",4327349.8676249,11322268.4436665,0.382198133629799
"ZMB","no-estimate",1e-04,"admin2",6263076.24938903,9470484.88742837,0.661325826907023
"ZMB","no-estimate",2e-04,"admin1",2102307.65368016,4327349.8676249,0.48581873848671
"ZMB","no-estimate",2e-04,"admin2",1952866.45369514,5560286.1098641,0.351216900553139
"ZMB","no-estimate",0.001,"admin2",187186.657953817,118085.483563431,1.58517924731423
"ZWE","district-estimate",1e-04,"admin1",1335454.09073538,0,Inf
"ZWE","district-estimate",1e-04,"admin2",769070.985040133,769070.985040133,1
"ZWE","district-estimate",2e-04,"admin2",503157.505883161,493058.741276593,1.02048186911852
"ZWE","global-estimate",1e-04,"admin2",493058.741276593,493058.741276593,1
"ZWE","global-estimate",2e-04,"admin2",506741.311501292,0,Inf
"ZWE","no-estimate",1e-04,"admin1",1335454.09073538,2795612.46420661,0.477696428898409
"ZWE","no-estimate",1e-04,"admin2",759164.165716264,2274398.26019846,0.333786821332699
"ZWE","no-estimate",2e-04,"admin2",258937.813203408,769070.985040133,0.336689094037133
