"ISO","threshold","confirmation_lens","admin_level","ocv_costeff_lb","ocv_costeff_median","ocv_costeff_ub"
"GHA",0.001,"no-estimate","admin1",1622.21780910381,2067.59740994231,2803.58699829424
"GHA",1e-04,"district-estimate","admin2",1942.07448010824,2261.05199562401,2689.9373953981
"GHA",1e-04,"global-estimate","admin2",1918.62536472187,2145.39520140532,2509.16619164176
"GHA",1e-04,"no-estimate","admin2",2312.54106478642,2709.17151882281,3217.87823565634
"GHA",2e-04,"district-estimate","admin2",1504.06963485975,1748.95190772144,2115.51575174449
"GHA",2e-04,"global-estimate","admin2",441.271588339982,1265.72495732063,2375.2630566399
"GHA",2e-04,"no-estimate","admin2",1933.48507787185,2321.54244628968,2797.39021314666
"GHA",0.001,"district-estimate","admin2",406.3808350588,566.660868144972,822.279586261429
"GHA",0.001,"global-estimate","admin2",390.84709962439,524.86093734016,742.303909096323
"GHA",0.001,"no-estimate","admin2",857.248502330403,1023.40635461309,1272.32508371219
"GIN",1e-04,"district-estimate","admin1",2628.87632296803,3653.00259687016,6330.14039054165
"GIN",1e-04,"global-estimate","admin1",2583.90143861904,3464.68862496926,5906.51297063276
"GIN",1e-04,"no-estimate","admin1",3146.76551888581,4283.80866554957,7018.49710036286
"GIN",2e-04,"district-estimate","admin1",1973.33286111031,3225.28044712679,5538.47540024314
"GIN",2e-04,"global-estimate","admin1",639.426388652974,2642.58927417946,123291.627510713
"GIN",2e-04,"no-estimate","admin1",2467.53575128416,3663.2154822362,6409.11996169887
"GIN",0.001,"district-estimate","admin1",NA,NA,NA
"GIN",0.001,"global-estimate","admin1",NA,NA,NA
"GIN",0.001,"no-estimate","admin1",NA,NA,NA
"GIN",1e-04,"district-estimate","admin2",2173.79770635736,2975.67314625272,4914.06735867435
"GIN",1e-04,"global-estimate","admin2",2188.10904955979,2942.54404085276,5133.2512549382
"GIN",1e-04,"no-estimate","admin2",2445.61456655036,3394.74041512443,5558.19872848592
"GIN",2e-04,"district-estimate","admin2",2024.53315373376,2841.77403934921,4699.5497034137
"GIN",2e-04,"global-estimate","admin2",104.980093154348,2372.30578101284,11701.9915901852
"GIN",2e-04,"no-estimate","admin2",2188.2053098495,2990.71229090576,4937.33070678305
"GIN",0.001,"district-estimate","admin2",NA,NA,NA
"GIN",0.001,"global-estimate","admin2",NA,NA,NA
"GIN",0.001,"no-estimate","admin2",2516.5150360823,4468.77215687512,17055.7338185692
