"ISO","confirmation_lens","admin_level","threshold","costeff_ocv_test_lb","costeff_ocv_test_median","costeff_ocv_test_ub"
"BDI","no-estimate","admin1",1e-04,10491.9857809812,12945.496946833,16926.8978280287
"BDI","no-estimate","admin1",2e-04,6054.67852350416,9862.9635383077,18464.3566970202
"BDI","no-estimate","admin1",0.001,0,0,0
"BDI","no-estimate","admin2",1e-04,4040.57968487691,4924.46607431682,6295.56579279042
"BDI","no-estimate","admin2",2e-04,3227.77197883623,4079.99029493008,5550.88514293975
"BDI","no-estimate","admin2",0.001,0,0,12387.4972696741
"BEN","district-estimate","admin1",1e-04,28541.5961389814,35194.6221269307,41175.4576145587
"BEN","district-estimate","admin1",2e-04,28566.5606962401,35199.5710284693,41175.4576145587
"BEN","district-estimate","admin1",0.001,28566.5606962401,35199.5710284693,41175.4576145587
"BEN","district-estimate","admin2",1e-04,2590.53908378764,4657.17019797436,10293.6852432922
"BEN","district-estimate","admin2",2e-04,1634.5309803785,2968.00961933268,30679.8993238065
"BEN","district-estimate","admin2",0.001,29556.3499303726,35334.7027058891,39986.3143932265
"BEN","global-estimate","admin1",1e-04,27905.576348547,34375.2234735645,40225.1770283563
"BEN","global-estimate","admin1",2e-04,18.8828136359426,120.711116379802,38699.2203749138
"BEN","global-estimate","admin1",0.001,27909.2198504496,34389.5989762732,40227.9753319706
"BEN","global-estimate","admin2",1e-04,2436.60583173786,3795.66990359233,12139.5144360826
"BEN","global-estimate","admin2",2e-04,13.3847647323571,1363.17319194693,1180331.851533
"BEN","global-estimate","admin2",0.001,28876.2331928941,34521.6211589214,39066.1953070409
"BEN","no-estimate","admin1",1e-04,0,21889.4571133044,38535.5539913879
"BEN","no-estimate","admin1",2e-04,0,0,0
"BEN","no-estimate","admin1",0.001,0,0,0
"BEN","no-estimate","admin2",1e-04,8454.1359124876,11708.5783025719,17612.5024100838
"BEN","no-estimate","admin2",2e-04,2551.9664658498,4503.58009095712,10887.2602217567
"BEN","no-estimate","admin2",0.001,0,0,3144.58531608807
"BFA","district-estimate","admin1",1e-04,3289.29431340233,4496.72553221428,6328.746830304
"BFA","district-estimate","admin1",2e-04,3289.29431340233,4496.72553221428,6328.746830304
"BFA","district-estimate","admin1",0.001,3289.29431340233,4496.72553221428,6328.746830304
"BFA","district-estimate","admin2",1e-04,3287.14520236777,4510.07389271433,6342.70631095794
"BFA","district-estimate","admin2",2e-04,3287.14520236777,4510.07389271433,6246.73534404671
"BFA","district-estimate","admin2",0.001,3287.14520236777,4510.07389271433,6246.73534404671
"BFA","global-estimate","admin1",1e-04,3214.3883940286,4395.46263065088,6190.70885464758
"BFA","global-estimate","admin1",2e-04,11.6255421044329,147.986014321206,6219.39025565253
"BFA","global-estimate","admin1",0.001,3213.60485505216,4393.2520550931,6183.11698572934
"BFA","global-estimate","admin2",1e-04,3211.30721746436,4405.86087876273,6102.3602228418
"BFA","global-estimate","admin2",2e-04,6.17280287150582,148.477699298444,8599.37805527766
"BFA","global-estimate","admin2",0.001,3211.50519688944,4406.29325847072,6102.99265348803
"BFA","no-estimate","admin1",1e-04,0,0,0
"BFA","no-estimate","admin1",2e-04,0,0,0
"BFA","no-estimate","admin1",0.001,0,0,0
"BFA","no-estimate","admin2",1e-04,0,0,39577.6797107795
"BFA","no-estimate","admin2",2e-04,0,0,0
"BFA","no-estimate","admin2",0.001,0,0,0
"CAF","district-estimate","admin1",1e-04,3399.60960232557,5584.72950424272,11718.2740858016
"CAF","district-estimate","admin1",2e-04,3399.60960232557,5656.35172750147,11006.3508994739
"CAF","district-estimate","admin1",0.001,3429.80574005032,6097.23163248255,12472.8613730969
"CAF","district-estimate","admin2",1e-04,995.620484886982,3853.55640895243,7537.76286828605
"CAF","district-estimate","admin2",2e-04,991.760307223134,3765.47282606027,7048.53747653952
