"ISO","confirmation_lens","threshold","admin_level","prop_tested_lb","prop_tested_median","prop_tested_ub"
"SLE","district-estimate",1e-04,"admin1",0.657299373810825,0.719070096522502,0.727948570981988
"SLE","district-estimate",1e-04,"admin2",0.687244430622235,0.711471591593085,0.723441702454696
"SLE","district-estimate",2e-04,"admin1",0.617926609330199,0.654071444904629,0.710004045092694
"SLE","district-estimate",2e-04,"admin2",0.591269396475397,0.668253571860409,0.698178812814112
"SLE","district-estimate",0.001,"admin1",0.187065251795602,0.263507617751169,0.448585245541711
"SLE","district-estimate",0.001,"admin2",0.168349217694687,0.329269867087209,0.458097860251988
"SLE","global-estimate",1e-04,"admin1",0.271048426909441,0.291746156233617,0.295670428566602
"SLE","global-estimate",1e-04,"admin2",0.280552122686313,0.288494974787634,0.294006910854771
"SLE","global-estimate",2e-04,"admin1",0.214494767274535,0.26572933173996,0.293398301910324
"SLE","global-estimate",2e-04,"admin2",0.237825652969229,0.27262692864661,0.291190377509077
"SLE","global-estimate",0.001,"admin1",0.0740988955039815,0.11191066530139,0.226434057575
"SLE","global-estimate",0.001,"admin2",0.0941931562398444,0.156755026207289,0.203517771428615
"SLE","no-estimate",1e-04,"admin1",0,0,0
"SLE","no-estimate",1e-04,"admin2",0,0,0
"SLE","no-estimate",2e-04,"admin1",0,0,0
"SLE","no-estimate",2e-04,"admin2",0,0,0
"SLE","no-estimate",0.001,"admin1",0,0,0
"SLE","no-estimate",0.001,"admin2",0,0,0
"SOM","district-estimate",1e-04,"admin1",0.694040155822128,0.710670305293796,0.719937728676393
"SOM","district-estimate",1e-04,"admin2",0.693009322536416,0.710695755999696,0.719179286418175
"SOM","district-estimate",2e-04,"admin1",0.6352254832024,0.672905807048078,0.692018595080837
"SOM","district-estimate",2e-04,"admin2",0.643646192055462,0.672971174536348,0.698174199070075
"SOM","district-estimate",0.001,"admin1",0.128399654912402,0.277618203426238,0.396061083712155
"SOM","district-estimate",0.001,"admin2",0.230693462745613,0.405173409888207,0.484836814104733
"SOM","global-estimate",1e-04,"admin1",0.282219341955782,0.288705918794769,0.292218718127604
"SOM","global-estimate",1e-04,"admin2",0.281544419556445,0.288541796586256,0.291736014094559
"SOM","global-estimate",2e-04,"admin1",0.229214844541216,0.265877549110747,0.2832746595372
"SOM","global-estimate",2e-04,"admin2",0.258278111956732,0.275646851789384,0.286915498975095
"SOM","global-estimate",0.001,"admin1",0.0660262621471178,0.122596974074517,0.186073428588091
"SOM","global-estimate",0.001,"admin2",0.124599576759015,0.183235395758416,0.214132262746783
