"admin-1","admin0","admin1","admin2","outbreak_number","start_weekday","country","spatial_scale","temporal_scale","population","total_suspected_cases","total_deaths","duration","threshold","attack_rate","cfr","area","mean_R0","id","who_region","start_date","end_date","total_confirmed_cases","right_censored","EpiPeriod","location_period_id","threshold.per.week","run_country","duplicated_at_same_spatial_scale","manually_selected","duplicated_at_different_spatial_scale","time_to_peak..weeks.","pop_cat","population_density","rural_urban","country_code","TL","TR"
"afr","cmr","farnorth","kousserihealthdistrict",4,"Monday","CMR","admin2","weekly",177166.1,869,31,29,1.35389328067988,4.90500175065242,3.56731875719217,2927.572291,1.93,"afr::cmr::farnorth::kousserihealthdistrict_4","AFR",2011-04-11,2011-10-30,NA,"no","complete",13083,0,"CMR",NA,"yes",NA,20,"100,000-1,000,000",60.5163877744872,"Rural settings","CMR",2011-04-11,2011-10-30
"afr","cmr","farnorth","kozahealthdistrict",1,"Monday","CMR","admin2","weekly",68798.6,825,42,21,2.82086227738862,11.9915200875563,5.09090909090909,626.9786722,1.85,"afr::cmr::farnorth::kozahealthdistrict_1","AFR",2010-06-14,2010-11-07,NA,"no","complete",13064,0,"CMR",NA,"yes",NA,9,"10,000-100,000",109.730367316313,"Rural settings","CMR",2010-06-14,2010-11-07
"afr","cmr","farnorth","kozahealthdistrict",2,"Monday","CMR","admin2","weekly",85076.6,146,12,17,2.82086227738862,1.7161005178697,8.21917808219178,626.9786722,1.94,"afr::cmr::farnorth::kozahealthdistrict_2","AFR",2014-07-21,2014-11-16,NA,"no","complete",13064,0,"CMR",NA,"yes",NA,12,"10,000-100,000",135.692972938737,"Rural settings","CMR",2014-07-21,2014-11-16
"afr","cmr","farnorth","madahealthdistrict",1,"Monday","CMR","admin2","weekly",52409.1,628,26,20,3.98047471265684,11.9826506173523,4.14012738853503,2362.267122,1.76,"afr::cmr::farnorth::madahealthdistrict_1","AFR",2010-08-09,2010-12-26,NA,"no","complete",13065,0,"CMR",NA,"yes",NA,3,"10,000-100,000",22.1859329590246,"Rural settings","CMR",2010-08-09,2010-12-26
"afr","cmr","farnorth","madahealthdistrict",2,"Monday","CMR","admin2","weekly",60609.7,124,11,11,3.98047471265684,2.04587783072501,8.87096774193548,2362.267122,1.74,"afr::cmr::farnorth::madahealthdistrict_2","AFR",2011-09-19,2011-12-04,NA,"no","complete",13065,0,"CMR",NA,"yes",NA,3,"10,000-100,000",25.6574285928702,"Rural settings","CMR",2011-09-19,2011-12-04
"afr","cmr","farnorth","magahealthdistrict",1,"Monday","CMR","admin2","weekly",159700.8,222,4,13,1.87200366410486,1.39009964924639,1.8018018018018,1738.857891,1.67,"afr::cmr::farnorth::magahealthdistrict_1","AFR",2010-11-01,2011-01-30,NA,"no","complete",13066,0,"CMR",NA,"yes",NA,3,"100,000-1,000,000",91.8423528607951,"Rural settings","CMR",2010-11-01,2011-01-30
"afr","cmr","farnorth","magahealthdistrict",2,"Monday","CMR","admin2","weekly",159700.8,1202,15,16,1.87200366410486,7.52657557835209,1.24792013311148,1738.857891,1.53,"afr::cmr::farnorth::magahealthdistrict_2","AFR",2011-07-04,2011-10-23,NA,"no","complete",13066,0,"CMR",NA,"yes",NA,7,"100,000-1,000,000",91.8423528607951,"Rural settings","CMR",2011-07-04,2011-10-23
"afr","cmr","farnorth","mindifhealthdistrict",1,"Monday","CMR","admin2","weekly",122106.2,146,4,11,0.336426072510157,1.19568037431552,2.73972602739726,986.3004425,2.79,"afr::cmr::farnorth::mindifhealthdistrict_1","AFR",2011-09-12,2011-11-27,NA,"no","complete",13072,0,"CMR",NA,"yes",NA,3,"100,000-1,000,000",123.802235848637,"Rural settings","CMR",2011-09-12,2011-11-27
"afr","cmr","farnorth","mogodehealthdistrict",1,"Monday","CMR","admin2","weekly",78226.3,486,38,16,4.00580143108078,6.21274269400015,7.81893004115226,758.0277016,2.06,"afr::cmr::farnorth::mogodehealthdistrict_1","AFR",2010-07-19,2010-11-07,NA,"no","complete",13073,0,"CMR",NA,"yes",NA,4,"10,000-100,000",103.197152076216,"Rural settings","CMR",2010-07-19,2010-11-07
"afr","cmr","farnorth","mogodehealthdistrict",2,"Monday","CMR","admin2","weekly",98466,1198,55,26,4.00580143108078,12.1666323379922,4.59098497495826,758.0277016,2.2,"afr::cmr::farnorth::mogodehealthdistrict_2","AFR",2014-05-19,2014-11-16,NA,"no","complete",13073,0,"CMR",NA,"yes",NA,7,"10,000-100,000",129.897627477418,"Rural settings","CMR",2014-05-19,2014-11-16
