"scenario","set_name","vaccine","gavi_support","activity_type","country_code","country","year","age_first","age_last","age_range_verbatim","target","coverage","gender"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","CMR","Cameroon",2040,1,100,"default age and gender",40771711,0.332910406559486,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COD","Congo, the Democratic Republic of the",2025,1,100,"default age and gender",100447606,0.298517139646002,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COD","Congo, the Democratic Republic of the",2028,1,100,"default age and gender",109618181,0.298517139646002,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COD","Congo, the Democratic Republic of the",2031,1,100,"default age and gender",119296167,0.298517139646002,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COD","Congo, the Democratic Republic of the",2034,1,100,"default age and gender",129477684,0.298517139646002,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COD","Congo, the Democratic Republic of the",2037,1,100,"default age and gender",140103097,0.298517139646002,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COD","Congo, the Democratic Republic of the",2040,1,100,"default age and gender",151101392,0.298517139646002,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COG","Congo",2025,1,100,"default age and gender",6049095,0.183591331511663,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COG","Congo",2028,1,100,"default age and gender",6501594,0.183591331511663,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COG","Congo",2031,1,100,"default age and gender",6979158,0.183591331511663,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COG","Congo",2034,1,100,"default age and gender",7479581,0.183591331511663,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COG","Congo",2037,1,100,"default age and gender",8001283,0.183591331511663,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","COG","Congo",2040,1,100,"default age and gender",8541533,0.183591331511663,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","DZA","Algeria",2025,1,100,"default age and gender",46563977,0.085,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","DZA","Algeria",2028,1,100,"default age and gender",48410020,0.085,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","DZA","Algeria",2031,1,100,"default age and gender",50083357,0.085,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","DZA","Algeria",2034,1,100,"default age and gender",51688385,0.085,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","DZA","Algeria",2037,1,100,"default age and gender",53239167,0.085,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","DZA","Algeria",2040,1,100,"default age and gender",54782879,0.085,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","ETH","Ethiopia",2025,1,100,"default age and gender",126096266,0.0829258595147117,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","ETH","Ethiopia",2028,1,100,"default age and gender",135124150,0.0829258595147117,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","ETH","Ethiopia",2031,1,100,"default age and gender",144240703,0.0829258595147117,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","ETH","Ethiopia",2034,1,100,"default age and gender",153372188,0.0829258595147117,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","ETH","Ethiopia",2037,1,100,"default age and gender",162492652,0.0829258595147117,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","ETH","Ethiopia",2040,1,100,"default age and gender",171587155,0.0829258595147117,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GHA","Ghana",2025,1,100,"default age and gender",33510297,0.343029928267688,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GHA","Ghana",2028,1,100,"default age and gender",35533853,0.343029928267688,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GHA","Ghana",2031,1,100,"default age and gender",37587315,0.343029928267688,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GHA","Ghana",2034,1,100,"default age and gender",39661132,0.343029928267688,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","GHA","Ghana",2037,1,100,"default age and gender",41756470,0.343029928267688,"both"
