scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2025,1,100,default age groups,129041076.5,0.082925859514711680598,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2028,1,100,default age groups,138725487.5,0.082925859514711680598,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2031,1,100,default age groups,148540248.5,0.082925859514711680598,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2034,1,100,default age groups,158358230.5,0.082925859514711680598,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2037,1,100,default age groups,168132811,0.082925859514711694476,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,ETH,Ethiopia,2040,1,100,default age groups,177868196,0.082925859514711680598,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2025,1,100,default age groups,34550181,0.343029928267688410948,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2028,1,100,default age groups,36526098,0.343029928267688410948,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2031,1,100,default age groups,38518360.5,0.343029928267688410948,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2034,1,100,default age groups,40522592.5,0.343029928267688410948,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2037,1,100,default age groups,42549910,0.343029928267688466459,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GHA,Ghana,2040,1,100,default age groups,44595836,0.343029928267688355437,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2012,1,100,default age groups,10399335.5,0.000849477353625142689,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2025,1,100,default age groups,14416784,0.224514670331159210681,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2028,1,100,default age groups,15451837,0.224514670331159238437,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2031,1,100,default age groups,16500097.5,0.224514670331159182926,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2034,1,100,default age groups,17559336,0.224514670331159210681,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2037,1,100,default age groups,18625150.5,0.224514670331159238437,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GIN,Guinea,2040,1,100,default age groups,19686391.5,0.224514670331159210681,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2025,1,100,default age groups,2181296.5,0.380530811286850845221,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2028,1,100,default age groups,2322969,0.380530811286850845221,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2031,1,100,default age groups,2467201.5,0.380530811286850845221,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2034,1,100,default age groups,2613153.5,0.380530811286850845221,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2037,1,100,default age groups,2760125.5,0.38053081128685078971,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,GNB,Guinea-Bissau,2040,1,100,default age groups,2906536.5,0.380530811286850845221,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2013,1,100,default age groups,10004894.5,0.000013093591341717797,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2025,1,100,default age groups,11753010,0.510000000000000008882,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,HTI,Haiti,2028,1,100,default age groups,12174444.5,0.510000000000000008882,both,<NA>
